,AAMt,AAWt,Clinical,Functionalrelevancefunction,MOSST,Positionaccept,Positiontype,ProteinPropens,Result,SaccM,SaccW,ShbondsM,Sstruct,yDDG
AAMt,1.0,-0.1714038317717683,-0.24174688920761414,-0.02916059217599017,-0.35553440017950716,-0.2287207960948247,-0.26648917194333127,0.015444873210670578,0.20981748694242613,0.2794967057983445,0.20919876961188494,0.055992492198762074,0.033407655239053036,0.172987407232197
AAWt,-0.1714038317717683,1.0,0.19098732645254723,0.35800951340112985,0.11342772142471726,-0.23750346481749998,-0.1797751723510925,0.24865386540958734,0.013796164366186222,0.06523679830153988,-0.16051076680342352,-0.07850910338118898,0.05702244078444023,-0.09942945998531204
Clinical,-0.24174688920761414,0.19098732645254723,1.0,0.5044296328024895,-0.06390457692000714,0.09316479541482546,0.05987657336050151,0.3359942945667912,0.022219753674614404,-0.28448237779948066,-0.23193367309283275,0.45931776107524636,0.30151134457776363,0.342900512254155
Functionalrelevancefunction,-0.02916059217599017,0.35800951340112985,0.5044296328024895,1.0,-0.24170529495758347,-0.40207546101426833,-0.390019340016157,0.23185540331546917,0.3625211666252863,-0.3973314729447169,-0.5078393038116208,0.36187799226105327,0.7637626158259737,0.1817174261337571
MOSST,-0.35553440017950716,0.11342772142471726,-0.06390457692000714,-0.24170529495758347,1.0,0.7623024511498123,0.8399392474944892,0.18652807289260856,0.3886795769153215,-0.3727516831630523,-0.5078767245245609,-0.15339553146587417,-0.18460546833579217,0.24512521165829748
Positionaccept,-0.2287207960948247,-0.23750346481749998,0.09316479541482546,-0.40207546101426833,0.7623024511498123,1.0,0.9899183806759335,0.10902435430091056,0.1414307237517081,-0.34731654591538685,-0.22957219598683098,-0.040188532360733414,-0.29557597641182176,0.22823790960490506
Positiontype,-0.26648917194333127,-0.1797751723510925,0.05987657336050151,-0.390019340016157,0.8399392474944892,0.9899183806759335,1.0,0.09333000089281537,0.18775768626099387,-0.37462949834060544,-0.2876849429466538,-0.06618509169975263,-0.29788219135345934,0.22425518114861479
ProteinPropens,0.015444873210670578,0.24865386540958734,0.3359942945667912,0.23185540331546917,0.18652807289260856,0.10902435430091056,0.09333000089281537,1.0,0.2018323207955265,-0.2915498615013627,-0.5359266170512408,0.19059288681241077,0.47345804405233394,0.5108777924869726
Result,0.20981748694242613,0.013796164366186222,0.022219753674614404,0.3625211666252863,0.3886795769153215,0.1414307237517081,0.18775768626099387,0.2018323207955265,1.0,-0.3960819462330376,-0.6045852272183854,0.3507619142896068,0.42499291074466955,0.22237829926098485
SaccM,0.2794967057983445,0.06523679830153988,-0.28448237779948066,-0.3973314729447169,-0.3727516831630523,-0.34731654591538685,-0.37462949834060544,-0.2915498615013627,-0.3960819462330376,1.0,0.8387443594746746,-0.507864777377227,-0.6445728107676663,-0.32139203676947997
SaccW,0.20919876961188494,-0.16051076680342352,-0.23193367309283275,-0.5078393038116208,-0.5078767245245609,-0.22957219598683098,-0.2876849429466538,-0.5359266170512408,-0.6045852272183854,0.8387443594746746,1.0,-0.3510971805265736,-0.7435930844553852,-0.4070361672824427
ShbondsM,0.055992492198762074,-0.07850910338118898,0.45931776107524636,0.36187799226105327,-0.15339553146587417,-0.040188532360733414,-0.06618509169975263,0.19059288681241077,0.3507619142896068,-0.507864777377227,-0.3510971805265736,1.0,0.5184504597664147,0.2996480615201036
Sstruct,0.033407655239053036,0.05702244078444023,0.30151134457776363,0.7637626158259737,-0.18460546833579217,-0.29557597641182176,-0.29788219135345934,0.47345804405233394,0.42499291074466955,-0.6445728107676663,-0.7435930844553852,0.5184504597664147,1.0,0.2857247609672378
yDDG,0.172987407232197,-0.09942945998531204,0.342900512254155,0.1817174261337571,0.24512521165829748,0.22823790960490506,0.22425518114861479,0.5108777924869726,0.22237829926098485,-0.32139203676947997,-0.4070361672824427,0.2996480615201036,0.2857247609672378,1.0
