,algorithm,params,groups,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,251.34933946457488,0.58175004919827733
2,K-Means,K = 3,3,241.90440170182609,0.45994823920518502
3,K-Means,K = 4,4,206.68060327399203,0.38504540530453946
4,K-Means,K = 5,5,203.07819386646145,0.34380827431664657
5,K-Means,K = 6,6,182.91227403860549,0.31817986156820888
6,K-Means,K = 7,7,178.48048785005005,0.3245614896948445
7,K-Means,K = 8,8,172.93376895144999,0.33436204677941472
8,K-Means,K = 9,9,174.52111810283816,0.33936599985839772
9,MeanShift,Default,3,163.71379707654847,0.43251408537574831
10,DBSCAN,Default,1,ERROR,ERROR
11,AffinityPropagation,Default,9,165.84089933599037,0.34129964541909485
12,Birch,K = 2,2,240.24566522437505,0.57703460194759604
13,Birch,K = 3,3,230.31088237814367,0.44919119157658599
14,Birch,K = 4,4,195.38785123198227,0.38155030483693714
15,Birch,K = 5,5,188.46747860510143,0.32988525578273048
16,Birch,K = 6,6,175.11421185577882,0.32309997038278565
17,Birch,K = 7,7,163.18500780434073,0.31968940738617418
18,Birch,K = 8,8,158.46278536023357,0.33442283859029626
19,Birch,K = 9,9,150.82972268445565,0.32640640072249172
20,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,240.24566522437505,0.57703460194759604
21,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,151.6331726872437,0.44081207105977682
22,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,251.34933946457488,0.58175004919827733
23,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,150.65613351205343,0.43024381970824815
24,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,251.34933946457488,0.58175004919827733
25,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,151.6331726872437,0.44081207105977682
26,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,251.34933946457488,0.58175004919827733
27,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,150.65613351205343,0.43024381970824815
28,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,251.34933946457488,0.58175004919827733
29,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,141.72172574303673,0.41185711160158939
30,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,240.24566522437505,0.57703460194759604
31,AgglomerativeClustering,affinity = euclidean linkage = ward k = 3,3,222.71916382214883,0.44668904102858953
32,AgglomerativeClustering,affinity = euclidean linkage = complete k = 3,3,213.08170999518919,0.4496184835988466
33,AgglomerativeClustering,affinity = euclidean linkage = average k = 3,3,149.02579903932869,0.48026693297286982
34,AgglomerativeClustering,affinity = l1 linkage = complete k = 3,3,216.98687182486901,0.43501182441264918
35,AgglomerativeClustering,affinity = l1 linkage = average k = 3,3,227.80875641939363,0.45295835260398709
36,AgglomerativeClustering,affinity = l2 linkage = complete k = 3,3,213.08170999518919,0.4496184835988466
37,AgglomerativeClustering,affinity = l2 linkage = average k = 3,3,149.02579903932869,0.48026693297286982
38,AgglomerativeClustering,affinity = manhattan linkage = complete k = 3,3,216.98687182486901,0.43501182441264918
39,AgglomerativeClustering,affinity = manhattan linkage = average k = 3,3,227.80875641939363,0.45295835260398709
40,AgglomerativeClustering,affinity = cosine linkage = complete k = 3,3,225.20278304654983,0.44662483949371867
41,AgglomerativeClustering,affinity = cosine linkage = average k = 3,3,211.43538450388962,0.43024197946341464
42,AgglomerativeClustering,affinity = euclidean linkage = ward k = 4,4,201.2514543140357,0.40063631598559496
43,AgglomerativeClustering,affinity = euclidean linkage = complete k = 4,4,183.9682033504622,0.41060705815169424
44,AgglomerativeClustering,affinity = euclidean linkage = average k = 4,4,104.29151330921331,0.40674646235244993
45,AgglomerativeClustering,affinity = l1 linkage = complete k = 4,4,176.75649915170143,0.40549751567125697
46,AgglomerativeClustering,affinity = l1 linkage = average k = 4,4,161.27828210237928,0.40072962492987069
47,AgglomerativeClustering,affinity = l2 linkage = complete k = 4,4,183.9682033504622,0.41060705815169424
48,AgglomerativeClustering,affinity = l2 linkage = average k = 4,4,104.29151330921331,0.40674646235244993
49,AgglomerativeClustering,affinity = manhattan linkage = complete k = 4,4,176.75649915170143,0.40549751567125697
50,AgglomerativeClustering,affinity = manhattan linkage = average k = 4,4,161.27828210237928,0.40072962492987069
51,AgglomerativeClustering,affinity = cosine linkage = complete k = 4,4,179.66283263571708,0.35830884412522079
52,AgglomerativeClustering,affinity = cosine linkage = average k = 4,4,145.83470731622569,0.25836395717885247
53,AgglomerativeClustering,affinity = euclidean linkage = ward k = 5,5,192.68128271763766,0.33058726295230451
54,AgglomerativeClustering,affinity = euclidean linkage = complete k = 5,5,166.65955832271152,0.3520629857033456
55,AgglomerativeClustering,affinity = euclidean linkage = average k = 5,5,127.48432224355344,0.37460125385424614
56,AgglomerativeClustering,affinity = l1 linkage = complete k = 5,5,171.59779306713304,0.35309768602998742
57,AgglomerativeClustering,affinity = l1 linkage = average k = 5,5,132.24897390949423,0.3838386825632103
58,AgglomerativeClustering,affinity = l2 linkage = complete k = 5,5,166.65955832271152,0.3520629857033456
59,AgglomerativeClustering,affinity = l2 linkage = average k = 5,5,127.48432224355344,0.37460125385424614
60,AgglomerativeClustering,affinity = manhattan linkage = complete k = 5,5,171.59779306713304,0.35309768602998742
61,AgglomerativeClustering,affinity = manhattan linkage = average k = 5,5,132.24897390949423,0.3838386825632103
62,AgglomerativeClustering,affinity = cosine linkage = complete k = 5,5,146.03498896006172,0.3214452464218055
63,AgglomerativeClustering,affinity = cosine linkage = average k = 5,5,139.86830957482439,0.28712264611212945
64,AgglomerativeClustering,affinity = euclidean linkage = ward k = 6,6,172.12300671308716,0.31485480100512719
65,AgglomerativeClustering,affinity = euclidean linkage = complete k = 6,6,144.22429076929811,0.31069907353633996
66,AgglomerativeClustering,affinity = euclidean linkage = average k = 6,6,116.52068234356335,0.32482484407407242
67,AgglomerativeClustering,affinity = l1 linkage = complete k = 6,6,172.61539344897963,0.32336218663836719
68,AgglomerativeClustering,affinity = l1 linkage = average k = 6,6,141.29576118809979,0.37706491184730034
69,AgglomerativeClustering,affinity = l2 linkage = complete k = 6,6,144.22429076929811,0.31069907353633996
70,AgglomerativeClustering,affinity = l2 linkage = average k = 6,6,116.52068234356335,0.32482484407407242
71,AgglomerativeClustering,affinity = manhattan linkage = complete k = 6,6,172.61539344897963,0.32336218663836719
72,AgglomerativeClustering,affinity = manhattan linkage = average k = 6,6,141.29576118809979,0.37706491184730034
73,AgglomerativeClustering,affinity = cosine linkage = complete k = 6,6,122.10889555656554,0.30895634207171263
74,AgglomerativeClustering,affinity = cosine linkage = average k = 6,6,123.90665456082111,0.28240044735606679
75,AgglomerativeClustering,affinity = euclidean linkage = ward k = 7,7,161.71422874670549,0.31696983029912751
76,AgglomerativeClustering,affinity = euclidean linkage = complete k = 7,7,131.98622358085009,0.30755172375750373
77,AgglomerativeClustering,affinity = euclidean linkage = average k = 7,7,139.82596358253275,0.32963034087236581
78,AgglomerativeClustering,affinity = l1 linkage = complete k = 7,7,160.71234629990332,0.3179244006709171
79,AgglomerativeClustering,affinity = l1 linkage = average k = 7,7,139.2929957899095,0.32902309559915777
80,AgglomerativeClustering,affinity = l2 linkage = complete k = 7,7,131.98622358085009,0.30755172375750373
81,AgglomerativeClustering,affinity = l2 linkage = average k = 7,7,139.82596358253275,0.32963034087236581
82,AgglomerativeClustering,affinity = manhattan linkage = complete k = 7,7,160.71234629990332,0.3179244006709171
83,AgglomerativeClustering,affinity = manhattan linkage = average k = 7,7,139.2929957899095,0.32902309559915777
84,AgglomerativeClustering,affinity = cosine linkage = complete k = 7,7,129.35134901130033,0.25104068515341466
85,AgglomerativeClustering,affinity = cosine linkage = average k = 7,7,106.66340769956729,0.27233689335866695
86,AgglomerativeClustering,affinity = euclidean linkage = ward k = 8,8,156.56817002840651,0.31094652900725755
87,AgglomerativeClustering,affinity = euclidean linkage = complete k = 8,8,149.04625169942224,0.33032584449007557
88,AgglomerativeClustering,affinity = euclidean linkage = average k = 8,8,136.03319883431485,0.32929935818910311
89,AgglomerativeClustering,affinity = l1 linkage = complete k = 8,8,157.51291727265266,0.29227523412205469
90,AgglomerativeClustering,affinity = l1 linkage = average k = 8,8,134.78007095819032,0.32679022574483163
91,AgglomerativeClustering,affinity = l2 linkage = complete k = 8,8,149.04625169942224,0.33032584449007557
92,AgglomerativeClustering,affinity = l2 linkage = average k = 8,8,136.03319883431485,0.32929935818910311
93,AgglomerativeClustering,affinity = manhattan linkage = complete k = 8,8,157.51291727265266,0.29227523412205469
94,AgglomerativeClustering,affinity = manhattan linkage = average k = 8,8,134.78007095819032,0.32679022574483163
95,AgglomerativeClustering,affinity = cosine linkage = complete k = 8,8,119.89532316466071,0.24716123894746767
96,AgglomerativeClustering,affinity = cosine linkage = average k = 8,8,94.277045394440705,0.26918220072473376
97,AgglomerativeClustering,affinity = euclidean linkage = ward k = 9,9,155.68549447414233,0.31143422475471605
98,AgglomerativeClustering,affinity = euclidean linkage = complete k = 9,9,150.1463923947469,0.34209448841740847
99,AgglomerativeClustering,affinity = euclidean linkage = average k = 9,9,126.08854586694491,0.32073915810975062
100,AgglomerativeClustering,affinity = l1 linkage = complete k = 9,9,148.32510152372583,0.28082837935548538
101,AgglomerativeClustering,affinity = l1 linkage = average k = 9,9,120.81867639427801,0.29518521560533617
102,AgglomerativeClustering,affinity = l2 linkage = complete k = 9,9,150.1463923947469,0.34209448841740847
103,AgglomerativeClustering,affinity = l2 linkage = average k = 9,9,126.08854586694491,0.32073915810975062
104,AgglomerativeClustering,affinity = manhattan linkage = complete k = 9,9,148.32510152372583,0.28082837935548538
105,AgglomerativeClustering,affinity = manhattan linkage = average k = 9,9,120.81867639427801,0.29518521560533617
106,AgglomerativeClustering,affinity = cosine linkage = complete k = 9,9,110.56773072432179,0.22765113144551635
107,AgglomerativeClustering,affinity = cosine linkage = average k = 9,9,87.805001360812753,0.27496171194343383
