,Message Error
1,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 2
2,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 2
3,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 2
4,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 2
5,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
6,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
7,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
8,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
9,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 3
10,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 3
11,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 3
12,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 3
13,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 3
14,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 3
15,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 3
16,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 3
17,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 4
18,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 4
19,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 4
20,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 4
21,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 4
22,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 4
23,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 4
24,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 4
25,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 5
26,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 5
27,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 5
28,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 5
29,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 5
30,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 5
31,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 5
32,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 5
33,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 6
34,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 6
35,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 6
36,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 6
37,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 6
38,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 6
39,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 6
40,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 6
41,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 7
42,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 7
43,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 7
44,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 7
45,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 7
46,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 7
47,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 7
48,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 7
49,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 8
50,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 8
51,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 8
52,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 8
53,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 8
54,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 8
55,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 8
56,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 8
57,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 9
58,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 9
59,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 9
60,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 9
61,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 9
62,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 9
63,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 9
64,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 9
