x,y,response
2.6327,0.73469,77.6
1.5918,1.1633,16.603
2.1429,2.0816,20.093
0,0.97959,28.255
0.67347,2.8776,27.116
2.449,0.55102,65.228
1.3469,1.7755,13.542
2.9388,1.4082,110.11
1.8367,1.8367,14.55
2.0816,0.91837,31.225
2.2653,1.5306,34.486
1.2245,0.55102,16.08
1.4082,0.36735,18.096
1.4082,0.12245,17.759
0.91837,3,26.51
2.2653,0.79592,45.255
0.061224,2.5102,34.705
1.9592,1.898,15.893
2.2653,0.97959,39.178
2.1429,0.97959,34.337
1.2857,2.3878,14.932
2.7551,0.36735,115.78
0.79592,2.8776,26.242
1.6531,0,25.315
2.5714,1.898,53.26
2.0816,0.36735,40.833
1.4082,2.8163,14.669
2.1429,1.9592,21.537
2.1429,2.2041,20.479
1.1633,0.18367,18.012
1.1633,2.5102,16.966
2.9388,2.7551,69.753
2.3265,2.2653,27.419
0.42857,0.12245,22.187
1.7755,0.18367,26.449
2.5714,0.18367,92.847
2.6939,1.102,85.679
2.449,0.4898,68.267
2.0204,3,10.973
2.2041,0.18367,48.923
1.5918,1.1633,15.034
2.9388,2.1429,85.866
0.73469,2.2653,24.775
1.0408,0.18367,17.497
1.2245,0.67347,15.537
1.4694,1.8367,12.269
1.5918,1.5306,13.568
1.7755,1.1633,19.535
2.0204,0.85714,31.952
0,0.67347,26.95
2.3265,0.91837,52.503
2.8163,2.2653,68.365
1.6531,2.6327,12.001
1.7755,1.7755,15.295
2.3878,1.5306,42.001
1.898,0.97959,22.886
0.42857,2.2041,28.8
1.8367,0,31.572
2.9388,2.2041,93.363
2.2041,1.4694,31.594
1.4694,1.2245,13.533
2.6939,2.7551,45.354
1.2245,1.6531,14.892
0.12245,1.4082,28.435
2.1429,2.0204,21.711
1.3469,0.67347,17.011
1.898,2.2041,14.476
1.7755,1.1633,18.532
2.0204,0,44.034
0.12245,0.73469,25.574
1.2857,0,18.633
1.1633,2.2041,16.843
0.73469,0.061224,19.918
1.5918,0.4898,19.658
0.79592,1.7755,20.959
0.30612,0.061224,21.985
0.42857,2.8163,34.373
1.2245,0.42857,17.76
2.6327,0.2449,93.253
2.0816,0.4898,37.207
1.102,1.0408,17.173
0.4898,0.55102,22.215
1.4082,2.2041,12.293
0.61224,1.7143,22.33
2.8776,1.7755,87.094
0.79592,0.42857,18.388
2.2653,2.5714,19.414
1.2857,2.449,13.944
1.9592,0.85714,28.163
0.91837,2.8776,24.691
2.0816,0.36735,39.172
1.9592,0.2449,35.109
0.73469,1.102,19.014
3,0.061224,161.11
0.91837,0.61224,17.043
2.1429,1.5918,24.854
0.42857,2.0816,27.946
2.5714,2.8776,34.974
0.061224,2.2653,33.718
2.449,0.4898,68.27
0.42857,2.5102,29.393
0.4898,0.42857,20.363
2.6939,1.4694,73.263
0.2449,1.3469,26.573
3,1.0408,120.32
0.79592,3,29.771
2.2653,2.3265,24.741
2.6939,1.9592,65.218
2.449,1.8367,43.122
0.42857,0.97959,22.193
1.1633,0.85714,16.084
0.91837,2.5102,20.273
2.5714,0.85714,63.986
1.102,1.1633,15.984
2.8163,0.73469,109.37
0.97959,1.4082,17.255
2.0204,0.18367,41.782
2.2041,1.3469,31.017
1.2245,0,18.903
1.7143,0.18367,25.443
1.5306,2.6327,12.792
2.2653,2.5714,19.689
0.97959,2.9388,22.224
0.30612,2.7551,33.324
2.2653,2.2041,23.254
3,0.61224,139.95
1.4694,0.85714,16.131
1.7143,2.1429,11.353
0.91837,2.8163,25.006
1.7755,1.4694,17.226
2.449,0.42857,69.367
2.3878,2.2653,26.36
0.55102,1.1633,21.001
2.6939,2.8163,45.828
2.2041,2.6939,16.744
0.61224,1.5918,22.814
0.61224,3,32.684
0.79592,2.2041,22.734
1.102,1.1633,14.934
2.5714,0.18367,86.434
0.30612,2.7551,33.656
0.67347,1.0408,20.426
1.4694,0.61224,16.741
2.6939,0,106.97
2.3265,0.4898,55.661
0.85714,2.6327,25.75
3,1.102,128.85
2.2653,1.1633,45.122
1.2857,0.12245,17.935
1.102,0.12245,17.826
2.6939,0.12245,100.18
0.2449,1.7143,27.904
0.2449,2.3265,33.844
0.42857,1.8367,27.359
2.5102,1.102,63.002
0.18367,0.2449,24.462
1.6531,2.6939,10.704
2.5102,0.18367,83.737
0.18367,0.67347,22.927
0.73469,1.7755,22.328
2.8163,1.9592,78.348
1.2245,1.0408,14.616
2.5102,1.1633,63.926
2.449,2.5102,31.633
0.97959,0.18367,16.667
0.2449,2.0204,32.765
1.9592,1.2245,21.755
1.0408,2.0816,17.643
2.5102,0.97959,54.367
2.5102,1.2857,53.605
1.8367,1.7143,16.696
0.18367,2.1429,33.208
0.55102,2.6939,34.683
2.0204,1.9592,18.063
0.42857,1.8367,25.69
1.2857,1.7755,14.371
0.30612,3,40.275
1.3469,2.5102,13.624
1.5306,2.2653,11.831
0.79592,0.79592,17.982
1.3469,1.3469,14.964
2.3878,0.61224,60.016
0.12245,0.061224,23.055
0.85714,1.102,18.172
2.8776,0.18367,133.35
2.8776,0.67347,103.46
0,0.61224,26.642
0.36735,2.1429,29.241
1.102,2.9388,19.591
0.73469,1.2245,20.012
2.2653,0.061224,60.545
0.91837,1.2245,15.287
1.0408,0.36735,16.05
2.8776,2.3265,77.397
0.30612,0.61224,22.898
0,0.79592,26.652
0.61224,2.0816,23.56
1.3469,0.36735,17.59
0.73469,0.42857,18.034
1.6531,0.91837,18.501
