,AAMt,AAWt,Clinical,Functionalrelevancefunction,MOSST,Positionaccept,Positiontype,ProteinPropens,Result,SaccM,SaccW,ShbondsM,Sstruct,yDDG
AAMt,1.0,0.05506279539095693,0.0021438133872447632,0.0404548702823115,0.2708097781917935,0.053064249977159805,0.0027640162069934157,1.0464606893943125e-16,0.03604919730053117,0.2814030524152622,0.15275344151065187,0.07968165690004997,0.0037436718622801944,0.20294411522382716
AAWt,0.05506279539095693,1.0,0.06689582472575126,0.42163171048751447,0.20049434423462467,0.36236046554546775,0.15636732497309827,0.10137008782009085,0.00732567072722995,0.2655458174422638,0.3048893617536179,0.01841214244472561,0.27828992592483465,0.31541818404813526
Clinical,0.0021438133872447632,0.06689582472575126,1.0,0.20695837979194226,0.2892573725271335,0.06557756096622668,0.003329963529821935,0.0027222484274203023,7.414649720903237e-05,0.2363466279529657,0.15426856410553824,0.25267717579760013,0.07910766756064118,0.3121183772828315
Functionalrelevancefunction,0.0404548702823115,0.42163171048751447,0.20695837979194226,1.0,0.20086709501645494,0.4445556982424773,0.21744375685031778,0.18103732408196424,0.06316786754804081,0.3865773470417168,0.44385304857449787,0.10160708851857325,0.5597006968423893,0.3397794370275849
MOSST,0.2708097781917935,0.20049434423462467,0.2892573725271335,0.20086709501645494,1.0,0.49760835854322305,0.5305184453708478,0.5033869292980949,0.32455343441952983,0.4845369677403821,0.46406559607871717,0.12152475263524969,0.21102957847124806,0.6156631619972252
Positionaccept,0.053064249977159805,0.36236046554546775,0.06557756096622668,0.4445556982424773,0.49760835854322316,1.0,0.6764222552727759,0.49299824644761536,0.13428239632367767,0.4933386659048049,0.5664322354043515,0.1982222244794247,0.6122167634435257,0.4429929743939252
Positiontype,0.0027640162069934157,0.15636732497309827,0.003329963529821935,0.21744375685031778,0.5305184453708478,0.6764222552727759,1.0,0.728832090612996,0.003329963529821935,0.22932673958072297,0.26330402767125827,0.0009038690098903514,0.14761519114561603,0.2877465621558123
ProteinPropens,1.0464606893943125e-16,0.10137008782009085,0.0027222484274203023,0.18103732408196424,0.503386929298095,0.49299824644761536,0.728832090612996,1.0,0.0027222484274203023,0.24717269848646473,0.205093780349215,0.006363730683142983,0.12341239739498659,0.2522547295825445
Result,0.03604919730053117,0.00732567072722995,7.414649720903237e-05,0.06316786754804081,0.32455343441952983,0.13428239632367767,0.003329963529821935,0.0027222484274203023,1.0,0.26087645448220526,0.202626274445344,0.0311335929901276,0.07910766756064118,0.6108095143805428
SaccM,0.2814030524152622,0.2655458174422638,0.2363466279529657,0.3865773470417168,0.4845369677403821,0.4933386659048049,0.22932673958072297,0.24717269848646473,0.26087645448220526,1.0,0.6908711627058581,0.3481768608877121,0.6601073918348532,0.5695244015070738
SaccW,0.15275344151065187,0.3048893617536179,0.15426856410553824,0.443853048574498,0.46406559607871717,0.5664322354043515,0.26330402767125827,0.205093780349215,0.202626274445344,0.690871162705858,1.0,0.17131247444441114,0.7579095891018224,0.5590125758148304
ShbondsM,0.07968165690004997,0.01841214244472561,0.25267717579760013,0.10160708851857325,0.12152475263524969,0.1982222244794247,0.0009038690098903514,0.006363730683142983,0.0311335929901276,0.3481768608877121,0.17131247444441114,1.0,0.21100784307009388,0.2946457534215701
Sstruct,0.0037436718622801944,0.27828992592483465,0.07910766756064118,0.5597006968423893,0.21102957847124806,0.6122167634435257,0.14761519114561603,0.12341239739498659,0.07910766756064118,0.6601073918348531,0.7579095891018224,0.21100784307009388,1.0,0.35167868420766407
yDDG,0.20294411522382716,0.31541818404813526,0.3121183772828315,0.3397794370275849,0.615663161997225,0.44299297439392504,0.2877465621558123,0.2522547295825445,0.6108095143805425,0.569524401507074,0.5590125758148304,0.2946457534215701,0.35167868420766407,1.0
