x_values,response
0.0,0.017005000000000003
0.10101,0.10400999999999999
0.20202,0.2496
0.30303,0.31385
0.40404,0.2677
0.50505,0.48043
0.60606,0.62288
0.70707,0.75956
0.80808,0.9073
0.90909,0.872
1.0101,1.0771
1.1111,1.1196
1.2121,1.2475
1.3131,1.3162
1.4141,1.4357
1.5152,1.5265
1.6162,1.5942
1.7172,1.5983
1.8182,1.8652
1.9192,1.8419
2.0202,1.9963
2.1212,2.1585
2.2222,2.2397
2.3232,2.3718
2.4242,2.3497
2.5253,2.5192
2.6263,2.7175
2.7273,2.6399
2.8283,2.8683
2.9293,2.918
3.0303,3.1525
3.1313,3.0763
3.2323,3.2376
3.3333,3.3480000000000003
3.4343,3.4485
3.5354,3.5191
3.6364,3.673
3.7374,3.7443
3.8384,3.8089
3.9394,3.9438
4.0404,4.0633
4.1414,4.1441
4.2424,4.2596
4.3434,4.4922
4.4444,4.4757
4.5455,4.5212
4.6465,4.6375
4.7475,4.8449
4.8485,4.8444
4.9495,5.1348
5.0505,4.9268
5.1515,5.1959
5.2525,5.3327
5.3535,5.2957
5.4545,5.4434
5.5556,5.5185
5.6566,5.5562
5.7576,5.6897
5.8586,5.8564
5.9596,5.9606
6.0606,6.0952
6.1616,6.1445
6.2626,6.246
6.3636,6.4414
6.4646,6.4282
6.5657,6.3022
6.6667,6.6919
6.7677,6.7956
6.8687,6.7709
6.9697,6.7202
7.0707,7.0366
7.1717,7.2329
7.2727,6.9275
7.3737,7.4114
7.4747,7.1357
7.5758,7.6113
7.6768,7.5731
7.7778,7.4221
7.8788,7.8519
7.9798,7.9847
8.0808,7.8648
8.1818,8.0962
8.2828,8.3588
8.3838,8.3993
8.4848,8.7681
8.5859,8.5789
8.6869,8.713
8.7879,8.7862
8.8889,8.8753
8.9899,9.0431
9.0909,9.0876
9.1919,9.1373
9.2929,9.0304
9.3939,9.3553
9.4949,9.4642
9.596,9.5684
9.697000000000001,9.7528
9.798,9.805
9.899,9.8435
10.0,9.9837
