,algorithm,params,groups,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,241.70032651155432,0.2856743258778074
2,K-Means,K = 3,3,181.55773735479534,0.20257183652322017
3,K-Means,K = 4,4,158.7192932081199,0.2092678891011904
4,K-Means,K = 5,5,139.69356901051404,0.19444726473976742
5,K-Means,K = 6,6,129.96954141713056,0.1877602921831834
6,K-Means,K = 7,7,116.44046325644508,0.1749253024415745
7,K-Means,K = 8,8,107.3936333742534,0.16157650632263282
8,K-Means,K = 9,9,101.75400328193781,0.17106197645641263
9,MeanShift,Default,1,ERROR,ERROR
10,DBSCAN,Default,1,ERROR,ERROR
11,AffinityPropagation,Default,34,52.8371097315281,0.14987141588805156
12,Birch,K = 2,2,176.8309756937796,0.25028456118051656
13,Birch,K = 3,3,152.5468710069061,0.1802748006390157
14,Birch,K = 4,4,130.78863246485687,0.1519897629796029
15,Birch,K = 5,5,116.347859325294,0.1411426412525165
16,Birch,K = 6,6,105.87178543737168,0.1286703643689764
17,Birch,K = 7,7,99.38189816033014,0.12082180885307742
18,Birch,K = 8,8,93.04411260530193,0.12729794383484694
19,Birch,K = 9,9,87.97706381573046,0.1264271180314441
20,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,207.72446607564217,0.26789981945294206
21,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,202.63642272152651,0.25097984792912037
22,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,6.894497470065965,0.3231184364327403
23,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,183.41742295701758,0.2330275382001478
24,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,4.824423410099896,0.19842862386117852
25,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,202.63642272152651,0.25097984792912037
26,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,6.894497470065965,0.3231184364327403
27,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,183.41742295701758,0.2330275382001478
28,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,4.824423410099896,0.19842862386117852
29,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,209.49207630660678,0.2584989057515072
30,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,209.78623445855902,0.2585395516597697
31,AgglomerativeClustering,affinity = euclidean linkage = ward k = 3,3,155.46720239241006,0.1878726444164278
32,AgglomerativeClustering,affinity = euclidean linkage = complete k = 3,3,137.48172044484207,0.15542397349067932
33,AgglomerativeClustering,affinity = euclidean linkage = average k = 3,3,6.359079880556238,0.1485432406422718
34,AgglomerativeClustering,affinity = l1 linkage = complete k = 3,3,132.44145494329712,0.14378640929334716
35,AgglomerativeClustering,affinity = l1 linkage = average k = 3,3,103.35572544332615,0.22385337038340158
36,AgglomerativeClustering,affinity = l2 linkage = complete k = 3,3,137.48172044484207,0.15542397349067932
37,AgglomerativeClustering,affinity = l2 linkage = average k = 3,3,6.359079880556238,0.1485432406422718
38,AgglomerativeClustering,affinity = manhattan linkage = complete k = 3,3,132.44145494329712,0.14378640929334716
39,AgglomerativeClustering,affinity = manhattan linkage = average k = 3,3,103.35572544332615,0.22385337038340158
40,AgglomerativeClustering,affinity = cosine linkage = complete k = 3,3,135.33615443613317,0.1850409658251549
41,AgglomerativeClustering,affinity = cosine linkage = average k = 3,3,134.51905460028445,0.12880010996265492
42,AgglomerativeClustering,affinity = euclidean linkage = ward k = 4,4,127.85467649648076,0.1664416808106801
43,AgglomerativeClustering,affinity = euclidean linkage = complete k = 4,4,110.30252320032398,0.11659000186047394
44,AgglomerativeClustering,affinity = euclidean linkage = average k = 4,4,75.14853902301795,0.19715275381989078
45,AgglomerativeClustering,affinity = l1 linkage = complete k = 4,4,100.49741116515706,0.09492079284453855
46,AgglomerativeClustering,affinity = l1 linkage = average k = 4,4,71.95620045675858,0.16784488916881435
47,AgglomerativeClustering,affinity = l2 linkage = complete k = 4,4,110.30252320032398,0.11659000186047394
48,AgglomerativeClustering,affinity = l2 linkage = average k = 4,4,75.14853902301795,0.19715275381989078
49,AgglomerativeClustering,affinity = manhattan linkage = complete k = 4,4,100.49741116515706,0.09492079284453855
50,AgglomerativeClustering,affinity = manhattan linkage = average k = 4,4,71.95620045675858,0.16784488916881435
51,AgglomerativeClustering,affinity = cosine linkage = complete k = 4,4,107.98510046564387,0.11284588524510097
52,AgglomerativeClustering,affinity = cosine linkage = average k = 4,4,98.13501959558559,0.07221482962819732
53,AgglomerativeClustering,affinity = euclidean linkage = ward k = 5,5,112.69631935352763,0.15112533525287364
54,AgglomerativeClustering,affinity = euclidean linkage = complete k = 5,5,95.42524541254153,0.11701149576451382
55,AgglomerativeClustering,affinity = euclidean linkage = average k = 5,5,58.848247297892,0.16489346074031494
56,AgglomerativeClustering,affinity = l1 linkage = complete k = 5,5,90.1616158876725,0.09199518373242134
57,AgglomerativeClustering,affinity = l1 linkage = average k = 5,5,64.6565983503729,0.13504233402021684
58,AgglomerativeClustering,affinity = l2 linkage = complete k = 5,5,95.42524541254153,0.11701149576451382
59,AgglomerativeClustering,affinity = l2 linkage = average k = 5,5,58.848247297892,0.16489346074031494
60,AgglomerativeClustering,affinity = manhattan linkage = complete k = 5,5,90.1616158876725,0.09199518373242134
61,AgglomerativeClustering,affinity = manhattan linkage = average k = 5,5,64.6565983503729,0.13504233402021684
62,AgglomerativeClustering,affinity = cosine linkage = complete k = 5,5,95.04901744581808,0.10883469768583867
63,AgglomerativeClustering,affinity = cosine linkage = average k = 5,5,90.09378862567982,0.0875951092103555
64,AgglomerativeClustering,affinity = euclidean linkage = ward k = 6,6,103.7640354818689,0.12588511529671054
65,AgglomerativeClustering,affinity = euclidean linkage = complete k = 6,6,78.56478764142491,0.11181178744002963
66,AgglomerativeClustering,affinity = euclidean linkage = average k = 6,6,51.48306279134054,0.13329132831643278
67,AgglomerativeClustering,affinity = l1 linkage = complete k = 6,6,80.98243607180947,0.09450644143624704
68,AgglomerativeClustering,affinity = l1 linkage = average k = 6,6,58.2173401500456,0.12623227222617142
69,AgglomerativeClustering,affinity = l2 linkage = complete k = 6,6,78.56478764142491,0.11181178744002963
70,AgglomerativeClustering,affinity = l2 linkage = average k = 6,6,51.48306279134054,0.13329132831643278
71,AgglomerativeClustering,affinity = manhattan linkage = complete k = 6,6,80.98243607180947,0.09450644143624704
72,AgglomerativeClustering,affinity = manhattan linkage = average k = 6,6,58.2173401500456,0.12623227222617142
73,AgglomerativeClustering,affinity = cosine linkage = complete k = 6,6,80.57788569741896,0.07446661151452047
74,AgglomerativeClustering,affinity = cosine linkage = average k = 6,6,73.12144469090185,0.025966921804659697
75,AgglomerativeClustering,affinity = euclidean linkage = ward k = 7,7,97.40711802775705,0.11976674212312818
76,AgglomerativeClustering,affinity = euclidean linkage = complete k = 7,7,75.27205152290996,0.10268572701587127
