,Audit_Risk,CONTROL_RISK,Detection_Risk,District_Loss,History,Inherent_Risk,LOCATION_ID,Money_Value,PARA_A,PARA_B,PROB,Prob,RiSk_E,Risk,Risk_A,Risk_B,Risk_C,Risk_D,Risk_F,Score,Score_A,Score_B,Score_B.1,Score_MV,Sector_score,TOTAL,numbers
Audit_Risk,1.0,0.35801326948387074,,0.19942571081659538,0.3297726037473566,0.7509030567132495,-0.01714474314614872,0.33405106095430503,0.21975913677122955,0.8877941445895176,0.07382950565602993,0.43130990667066044,0.20298316193660768,0.21711274682091855,0.22158111725638713,0.8875700145287984,0.25002526392101887,0.33418414823581755,0.32775023173393275,0.33299275591920807,0.20184693316925792,0.20797542192599727,0.25973663694912696,0.29172151334071156,-0.09195379477317632,0.8880964563623326,0.221460865118658
CONTROL_RISK,0.35801326948387074,1.0,,0.6451268965614106,0.7543048459453924,0.17325458788338102,0.0698212028885824,0.06952444232827007,0.14919848891212276,0.18670916082294728,0.33823384812191093,0.6418444390882685,0.7298453898444258,0.4164735707294497,0.1507776807571429,0.18640931998942137,0.25157152320548337,0.06958486340248803,0.7608624003790754,0.3567405497056619,0.17087201899152246,0.127826936225214,0.25655113969998083,0.2174545200669944,-0.15494966745004046,0.19731912018105432,0.22865679057781355
Detection_Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,
District_Loss,0.19942571081659538,0.6451268965614106,,1.0,0.06937940497284611,0.08112357765611626,0.15076295507153017,0.0282310636633321,0.1278035614053143,0.082943767172911,0.05530441622518573,0.08392162065595722,0.9134767778014756,0.40380574548631243,0.12737205477455188,0.08312939168000007,0.14624184949903976,0.028496204451491376,0.07068625751801398,0.210529575601497,0.08866225808206378,-0.004654390589076156,0.1503686263539529,0.08109788685515062,-0.10820213854391762,0.09334152454937772,0.12501005003557722
History,0.3297726037473566,0.7543048459453924,,0.06937940497284611,1.0,0.18561317619094894,-0.021854119945729465,0.08008012665672763,0.11827924719232695,0.20358237541650318,0.1100626789113909,0.8592963098358963,0.11010571706191291,0.2394525286358896,0.12113232453077241,0.20282281419860185,0.22068628532468781,0.07983910554231431,0.9919874111663664,0.3261525907109285,0.1779316675612306,0.20084094272685843,0.22617730178800002,0.24688078443570768,-0.11479758331336638,0.21075237628697335,0.20232712458069632
Inherent_Risk,0.7509030567132495,0.17325458788338102,,0.08112357765611626,0.18561317619094894,1.0,-0.04893356197245483,0.8297429223551684,0.48185858773274437,0.654452764523914,0.05269531279674219,0.273812937170732,0.08296624013087407,0.3570201239295801,0.48329089139544296,0.654504707753065,0.300643736589349,0.8295255625463542,0.1730986094586849,0.46492120485855143,0.32092042902929163,0.3656621532363644,0.30854337354763856,0.4823749219757526,-0.17327761345495754,0.689772293020015,0.2711152294407817
LOCATION_ID,-0.01714474314614872,0.0698212028885824,,0.15076295507153017,-0.021854119945729465,-0.04893356197245483,1.0,-0.036650380468328345,0.011513218058352133,-0.04026457976766913,-0.033261471093420675,-0.029527424309837177,0.12686745678376887,-0.028085121400133112,0.008850496794583362,-0.04003897803016476,-0.12006364221303595,-0.03660879298134264,-0.018931445176230185,-0.10987394918913714,-0.033345849956097386,-0.11514828416092397,-0.11859534166006042,-0.16351936681906465,0.006108557839089917,-0.03806872561284774,-0.122833155769124
Money_Value,0.33405106095430503,0.06952444232827007,,0.0282310636633321,0.08008012665672763,0.8297429223551684,-0.036650380468328345,1.0,0.44931816897429133,0.12503254047902063,0.03178146119892022,0.11218404235961832,0.03304679361532274,0.2569918828408757,0.4487026574024498,0.12506883464832735,0.21531409842805663,0.9999363608008397,0.06969059322605681,0.29181004978405917,0.20613087178926645,0.20513934484712698,0.2203484794157589,0.39137333229060317,-0.11758932507691287,0.16866915536992047,0.18618780118622522
PARA_A,0.21975913677122955,0.14919848891212276,,0.1278035614053143,0.11827924719232695,0.48185858773274437,0.011513218058352133,0.44931816897429133,1.0,0.1619404902918177,0.04370718088174397,0.1726345255574784,0.11894085992763509,0.37875770674735837,0.9992667776515964,0.16183427306039835,0.14045513185954886,0.44855514672262264,0.10398056152458683,0.42665885806084536,0.4966797311935785,0.35855021992052977,0.1406478617658561,0.2859908734952964,-0.21682369837822107,0.26704233395136495,0.13378610641848435
PARA_B,0.8877941445895176,0.18670916082294728,,0.082943767172911,0.20358237541650318,0.654452764523914,-0.04026457976766913,0.12503254047902063,0.1619404902918177,1.0,0.04255065323350219,0.3165405913798628,0.07939346344372189,0.25702925711739455,0.16528714348450596,0.9999355114543272,0.22305426790744884,0.12467091562313479,0.19604844050561523,0.3971548118181797,0.24943817743091895,0.34756822066159754,0.23085084167691045,0.3145477840137701,-0.13266997534333286,0.9941004657259394,0.20985541293625745
PROB,0.07382950565602993,0.33823384812191093,,0.05530441622518573,0.1100626789113909,0.05269531279674219,-0.033261471093420675,0.03178146119892022,0.04370718088174397,0.04255065323350219,1.0,0.14147092147441034,0.40626356500780286,0.17691212555547875,0.0437345507103813,0.0428754001568424,0.03621640008592632,0.03191349412537083,0.1060354022234582,0.16772137108000307,0.09364752492786557,0.0925665265329254,0.03689891239456453,0.12992092596830976,-0.0867503645888853,0.04647050289536149,0.035807377613588764
Prob,0.43130990667066044,0.6418444390882685,,0.08392162065595722,0.8592963098358963,0.273812937170732,-0.029527424309837177,0.11218404235961832,0.1726345255574784,0.3165405913798628,0.14147092147441034,1.0,0.12369264247710356,0.2986394049592742,0.17615865136142425,0.3163750477130281,0.23772327506096608,0.1114868914234735,0.8156107064415038,0.4433948824893891,0.2653219797263799,0.30950469955628984,0.24842285375566556,0.3347138105036312,-0.1369001014026133,0.32639622503678445,0.2095982276310398
RiSk_E,0.20298316193660768,0.7298453898444258,,0.9134767778014756,0.11010571706191291,0.08296624013087407,0.12686745678376887,0.03304679361532274,0.11894085992763509,0.07939346344372189,0.40626356500780286,0.12369264247710356,1.0,0.4118034982038665,0.11864050345275867,0.07973079798473771,0.15470567966904913,0.033272092551826185,0.1117068681363184,0.23700777810547474,0.10267710198938378,0.015324467426502479,0.1575947616777177,0.10443422457527261,-0.12854635722676847,0.08920403061734133,0.13695605211744602
Risk,0.21711274682091855,0.4164735707294497,,0.40380574548631243,0.2394525286358896,0.3570201239295801,-0.028085121400133112,0.2569918828408757,0.37875770674735837,0.25702925711739455,0.17691212555547875,0.2986394049592742,0.4118034982038665,1.0,0.3850665936089705,0.2552861246117134,0.3421404819079661,0.25435452998977953,0.21451078428719708,0.7859952584905177,0.6197255412547725,0.6357682035755707,0.35380264359076424,0.688367421240124,-0.3941308935322904,0.2920215655436221,0.30814088543086865
