x_values,response
0.0,0.017005000000000003
0.10101,0.10400999999999999
0.20202,0.2496
0.30303,0.33575
0.40404,0.2677
0.50505,0.48043
0.60606,0.62288
0.70707,0.7262
0.80808,0.9073
0.90909,0.90507
1.0101,1.0771
1.1111,1.1196
1.2121,1.1797
1.3131,1.3162
1.4141,1.4357
1.5152,1.5265
1.6162,1.7184
1.7172,1.8928
1.8182,1.8652
1.9192,1.8419
2.0202,2.1561
2.1212,2.1585
2.2222,2.2397
2.3232,2.7808
2.4242,2.3497
2.5253,2.2414
2.6263,2.7175
2.7273,2.262
2.8283,2.8683
2.9293,2.918
3.0303,3.1525
3.1313,3.3405
3.2323,3.3834
3.3333,3.3480000000000003
3.4343,3.4485
3.5354,3.5191
3.6364,2.9491
3.7374,3.7443
3.8384,3.8089
3.9394,3.9438
4.0404,4.0633
4.1414,4.1918
4.2424,3.9134
4.3434,4.4922
4.4444,4.4757
4.5455,4.2254
4.6465,4.6375
4.7475,4.8449
4.8485,4.8444
4.9495,5.1348
5.0505,4.9268
5.1515,5.1959
5.2525,5.3327
5.3535,5.2957
5.4545,5.0126
5.5556,5.5185
5.6566,5.5562
5.7576,5.6897
5.8586,6.3476
5.9596,5.869
6.0606,6.0952
6.1616,6.1445
6.2626,6.246
6.3636,6.4414
6.4646,6.9183
6.5657,6.3022
6.6667,6.6919
6.7677,6.2847
6.8687,6.882999999999999
6.9697,6.4913
7.0707,7.0366
7.1717,6.3199
7.2727,7.1409
7.3737,7.4114
7.4747,7.1357
7.5758,7.3432
7.6768,7.5731
7.7778,7.3902
7.8788,8.2962
7.9798,7.9847
8.0808,8.4484
8.1818,7.4428
8.2828,8.3588
8.3838,8.3993
8.4848,8.7681
8.5859,8.5789
8.6869,8.713
8.7879,7.605
8.8889,8.8753
8.9899,9.6752
9.0909,9.0876
9.1919,9.6272
9.2929,9.0304
9.3939,9.3553
9.4949,9.4642
9.596,9.3028
9.697000000000001,9.7528
9.798,9.805
9.899,11.123
10.0,10.581
