x_values,response
0.0,0.0
0.10101,0.10400999999999999
0.20202,0.2496
0.30303,0.33575
0.40404,0.2677
0.50505,0.61634
0.60606,0.5010100000000001
0.70707,0.7262
0.80808,0.9073
0.90909,0.5864699999999999
1.0101,0.7397100000000001
1.1111,1.1196
1.2121,1.1158
1.3131,1.5909
1.4141,1.4357
1.5152,1.5265
1.6162,1.7184
1.7172,2.2063
1.8182,2.3626
1.9192,1.8419
2.0202,2.1561
2.1212,2.1585
2.2222,2.8675
2.3232,2.7808
2.4242,2.7157
2.5253,2.2414
2.6263,2.7175
2.7273,2.262
2.8283,2.2814
2.9293,3.0781
3.0303,3.1525
3.1313,3.3405
3.2323,3.3834
3.3333,4.0132
3.4343,3.4485
3.5354,3.5191
3.6364,2.9491
3.7374,3.7443
3.8384,3.8089
3.9394,3.9438
4.0404,3.0194
4.1414,4.1918
4.2424,5.5342
4.3434,3.2711
4.4444,4.4757
4.5455,4.2254
4.6465,4.6375
4.7475,5.1997
4.8485,4.8444
4.9495,5.1348
5.0505,4.9268
5.1515,5.1959
5.2525,4.4092
5.3535,5.2957
5.4545,4.7758
5.5556,5.294
5.6566,5.5562
5.7576,5.6897
5.8586,6.3476
5.9596,5.869
6.0606,6.0952
6.1616,6.1445
6.2626,7.303
6.3636,5.0132
6.4646,6.9183
6.5657,5.3863
6.6667,6.6919
6.7677,5.0327
6.8687,6.5185
6.9697,6.4913
7.0707,7.0366
7.1717,6.6406
7.2727,4.8899
7.3737,7.4114
7.4747,7.1357
7.5758,7.3432
7.6768,6.8783
7.7778,7.3902
7.8788,8.2962
7.9798,7.9847
8.0808,9.2547
8.1818,7.4428
8.2828,8.3588
8.3838,6.4324
8.4848,8.7681
8.5859,6.7505
8.6869,9.3528
8.7879,11.251
8.8889,8.8753
8.9899,9.6752
9.0909,9.0516
9.1919,9.6272
9.2929,12.97
9.3939,12.354000000000001
9.4949,6.7927
9.596,5.7892
9.697000000000001,10.802
9.798,6.9437
9.899,11.123
10.0,10.581
