NodeNumber,ThreadNumber,SpatialDistribution,TemporalDistribution,TR,ProcessorUtilization ,ChannelWaitingTime,InputWaitingTime,NetworkResponseTime,ChannelUtilization
64,4,UN,Client-Server,0,1,0,839546,1,974686
64,4,UN,Client-Server,0,2,0,827412,9,556437
64,4,UN,Client-Server,0,3,0,802605,27,27618
64,4,UN,Client-Server,0,4,0,723403,61,848511
64,4,UN,Client-Server,0,5,0,72121,121,85884
64,4,UN,Client-Server,0,6,0,647035,205,881088
64,4,UN,Client-Server,0,7,0,567402,284,999115
64,4,UN,Client-Server,0,8,0,511627,368,157288
64,4,UN,Client-Server,0,9,0,47056,431,169037
64,4,UN,Client-Server,1,0,421877,505,119598,68
64,6,UN,Client-Server,0,1,0,901173,2,153823
64,6,UN,Client-Server,0,2,0,897863,11,2777
64,6,UN,Client-Server,0,3,0,871957,31,924433
64,6,UN,Client-Server,0,4,0,853846,84,117371
64,6,UN,Client-Server,0,5,0,796428,194,432526
64,6,UN,Client-Server,0,6,0,731779,341,365112
64,6,UN,Client-Server,0,7,0,640211,495,164948
64,6,UN,Client-Server,0,8,0,568923,626,139282
64,6,UN,Client-Server,0,9,0,514046,741,330261
64,6,UN,Client-Server,1,0,463145,851,930115,86
64,8,UN,Client-Server,0,1,0,923706,2,222387
64,8,UN,Client-Server,0,2,0,922138,11,448802
64,8,UN,Client-Server,0,3,0,928869,36,851643
64,8,UN,Client-Server,0,4,0,911611,97,74905
64,8,UN,Client-Server,0,5,0,850776,260,288574
64,8,UN,Client-Server,0,6,0,768916,498,907104
64,8,UN,Client-Server,0,7,0,673281,703,671875
64,8,UN,Client-Server,0,8,0,601595,886,9094
64,8,UN,Client-Server,0,9,0,538158,1042,865601
64,8,UN,Client-Server,1,0,488247,1182,806885,108
64,10,UN,Client-Server,0,1,0,961658,2,323333
64,10,UN,Client-Server,0,2,0,950974,12,18917
64,10,UN,Client-Server,0,3,0,938148,36,704994
64,10,UN,Client-Server,0,4,0,934972,106,477081
64,10,UN,Client-Server,0,5,0,911155,289,791046
64,10,UN,Client-Server,0,6,0,954375,569,42358
64,10,UN,Client-Server,0,7,0,960799,770,286499
64,10,UN,Client-Server,0,8,0,626211,943,934143
64,10,UN,Client-Server,0,9,0,557324,1112,935791
64,10,UN,Client-Server,1,0,504446,1258,460205,125
64,4,HR,Client-Server,0,1,0,549508,1,222985
64,4,HR,Client-Server,0,2,0,509507,5,670937
64,4,HR,Client-Server,0,3,0,531845,16,238094
64,4,HR,Client-Server,0,4,0,519655,45,7972
64,4,HR,Client-Server,0,5,0,515341,129,721649
64,4,HR,Client-Server,0,6,0,452565,262,34314
64,4,HR,Client-Server,0,7,0,381618,347,487946
64,4,HR,Client-Server,0,8,0,355369,424,36957
64,4,HR,Client-Server,0,9,0,32818,495,345062
64,4,HR,Client-Server,1,0,282082,575,525146,51
64,6,HR,Client-Server,0,1,0,572224,1,282619
64,6,HR,Client-Server,0,2,0,557274,6,12516
64,6,HR,Client-Server,0,3,0,585218,19,425623
64,6,HR,Client-Server,0,4,0,591425,45,844761
64,6,HR,Client-Server,0,5,0,557459,180,532654
64,6,HR,Client-Server,0,6,0,517327,358,594482
64,6,HR,Client-Server,0,7,0,458381,558,683594
64,6,HR,Client-Server,0,8,0,401393,662,153564
64,6,HR,Client-Server,0,9,0,365252,781,969604
64,6,HR,Client-Server,1,0,338053,868,8797,86
64,8,HR,Client-Server,0,1,0,567314,1,354892
64,8,HR,Client-Server,0,2,0,601986,7,1774
64,8,HR,Client-Server,0,3,0,649676,21,905952
64,8,HR,Client-Server,0,4,0,627225,53,570431
64,8,HR,Client-Server,0,5,0,609125,193,282196
64,8,HR,Client-Server,0,6,0,564138,472,804352
64,8,HR,Client-Server,0,7,0,49258,717,856323
64,8,HR,Client-Server,0,8,0,440587,889,111389
64,8,HR,Client-Server,0,9,0,409357,966,465942
64,8,HR,Client-Server,1,0,375879,1121,980713,108
64,10,HR,Client-Server,0,1,0,63489,1,522023
64,10,HR,Client-Server,0,2,0,625327,7,723398
64,10,HR,Client-Server,0,3,0,654058,22,386116
64,10,HR,Client-Server,0,4,0,66297,63,343914
64,10,HR,Client-Server,0,5,0,645673,200,854584
