,DYRK1A_N;ITSN1_N;BDNF_N;NR1_N;NR2A_N;pAKT_N;pBRAF_N;pCAMKII_N;pCREB_N;pELK_N;pERK_N;pJNK_N;PKCA_N;pMEK_N;pNR1_N;pNR2A_N;pNR2B_N;pPKCAB_N;pRSK_N;AKT_N;BRAF_N;CAMKII_N;CREB_N;ELK_N;ERK_N;GSK3B_N;JNK_N;MEK_N;TRKA_N;RSK_N;APP_N;Bcatenin_N;SOD1_N;MTOR_N;P38_N;pMTOR_N;DSCR1_N;AMPKA_N;NR2B_N;pNUMB_N;RAPTOR_N;TIAM1_N;pP70S6_N;NUMB_N;P70S6_N;pGSK3B_N;pPKCG_N;CDK5_N;S6_N;ADARB1_N;AcetylH3K9_N;RRP1_N;BAX_N;ARC_N;ERBB4_N;nNOS_N;Tau_N;GFAP_N;GluR3_N;GluR4_N;IL1B_N;P3525_N;pCASP9_N;PSD95_N;SNCA_N;Ubiquitin_N;pGSK3B_Tyr216_N;SHH_N;pS6_N;SYP_N;CaNA_N;Genotype;Treatment,Labels
0,-10.072802534544207,7
1,-10.072802534544207,5
2,-10.072802534544207,4
3,-10.072802534544207,3
4,-10.072802534544207,6
5,-10.072802534544207,2
6,-10.072802534544207,1
7,-10.072802534544207,0
8,-10.072802534544207,0
9,-10.072802534544207,0
10,-10.072802534544207,0
11,-10.072802534544207,0
12,-10.072802534544207,0
13,-10.072802534544207,0
14,-10.072802534544207,0
15,-10.072802534544207,0
16,-10.072802534544207,0
17,-10.072802534544207,0
18,-10.072802534544207,0
19,-10.072802534544207,0
20,-10.072802534544207,0
21,-10.072802534544207,0
22,-10.072802534544207,0
23,-10.072802534544207,0
24,-10.072802534544207,0
25,-10.072802534544207,0
26,-10.072802534544207,0
27,-10.072802534544207,0
28,-10.072802534544207,0
29,-10.072802534544207,0
30,-10.072802534544207,0
31,-10.072802534544207,0
32,-10.072802534544207,0
33,-10.072802534544207,0
34,-10.072802534544207,0
35,-10.072802534544207,0
36,-10.072802534544207,0
37,-10.072802534544207,0
38,-10.072802534544207,0
39,-10.072802534544207,0
40,-10.072802534544207,0
41,-10.072802534544207,0
42,-10.072802534544207,0
43,-10.072802534544207,0
44,-10.072802534544207,0
45,-10.072802534544207,0
46,-10.072802534544207,0
47,-10.072802534544207,0
48,-10.072802534544207,0
49,-10.072802534544207,0
50,-10.072802534544207,0
51,-10.072802534544207,0
52,-10.072802534544207,0
53,-10.072802534544207,0
54,-10.072802534544207,0
55,-10.072802534544207,0
56,-10.072802534544207,0
57,-10.072802534544207,0
58,-10.072802534544207,0
59,-10.072802534544207,0
60,-10.072802534544207,0
61,-10.072802534544207,0
62,-10.072802534544207,0
63,-10.072802534544207,0
64,-10.072802534544207,0
65,-10.072802534544207,0
66,-10.072802534544207,0
67,-10.072802534544207,0
68,-10.072802534544207,0
69,-10.072802534544207,0
70,-10.072802534544207,0
71,-10.072802534544207,0
72,-10.072802534544207,0
73,-10.072802534544207,0
74,-10.072802534544207,0
75,-10.072802534544207,0
76,-10.072802534544207,0
77,-10.072802534544207,0
78,-10.072802534544207,0
79,-10.072802534544207,0
80,-10.072802534544207,0
81,-10.072802534544207,0
82,-10.072802534544207,0
83,-10.072802534544207,0
84,-10.072802534544207,0
85,-10.072802534544207,0
86,-10.072802534544207,0
87,-10.072802534544207,0
88,-10.072802534544207,0
89,-10.072802534544207,0
90,-10.072802534544207,0
91,-10.072802534544207,0
92,-10.072802534544207,0
93,-10.072802534544207,0
94,-10.072802534544207,0
95,-10.072802534544207,0
96,-10.072802534544207,0
97,-10.072802534544207,0
98,-10.072802534544207,0
99,-10.072802534544207,0
100,-10.072802534544207,0
101,-10.072802534544207,0
102,-10.072802534544207,0
103,-10.072802534544207,0
104,-10.072802534544207,0
105,-10.072802534544207,0
106,-10.072802534544207,0
107,-10.072802534544207,0
108,-10.072802534544207,0
109,-10.072802534544207,0
110,-10.072802534544207,0
111,-10.072802534544207,0
112,-10.072802534544207,0
113,-10.072802534544207,0
114,-10.072802534544207,0
115,-10.072802534544207,0
116,-10.072802534544207,0
117,-10.072802534544207,0
118,-10.072802534544207,0
119,-10.072802534544207,0
120,-10.072802534544207,0
121,-10.072802534544207,0
122,-10.072802534544207,0
123,-10.072802534544207,0
124,-10.072802534544207,0
125,-10.072802534544207,0
126,-10.072802534544207,0
127,-10.072802534544207,0
128,-10.072802534544207,0
129,-10.072802534544207,0
130,-10.072802534544207,0
131,-10.072802534544207,0
132,-10.072802534544207,0
133,-10.072802534544207,0
134,-10.072802534544207,0
135,-10.072802534544207,0
136,-10.072802534544207,0
137,-10.072802534544207,0
138,-10.072802534544207,0
139,-10.072802534544207,0
140,-10.072802534544207,0
141,-10.072802534544207,0
142,-10.072802534544207,0
143,-10.072802534544207,0
144,-10.072802534544207,0
145,-10.072802534544207,0
146,-10.072802534544207,0
147,-10.072802534544207,0
148,-10.072802534544207,0
149,-10.072802534544207,0
150,-10.072802534544207,0
151,-10.072802534544207,0
152,-10.072802534544207,0
153,-10.072802534544207,0
154,-10.072802534544207,0
155,-10.072802534544207,0
156,-10.072802534544207,0
157,-10.072802534544207,0
158,-10.072802534544207,0
159,-10.072802534544207,0
160,-10.072802534544207,0
161,-10.072802534544207,0
162,-10.072802534544207,0
163,-10.072802534544207,0
164,-10.072802534544207,0
165,-10.072802534544207,0
166,-10.072802534544207,0
167,-10.072802534544207,0
168,-10.072802534544207,0
169,-10.072802534544207,0
170,-10.072802534544207,0
171,-10.072802534544207,0
172,-10.072802534544207,0
173,-10.072802534544207,0
174,-10.072802534544207,0
175,-10.072802534544207,0
176,-10.072802534544207,0
177,-10.072802534544207,0
178,-10.072802534544207,0
179,-10.072802534544207,0
180,-10.072802534544207,0
181,-10.072802534544207,0
182,-10.072802534544207,0
183,-10.072802534544207,0
184,-10.072802534544207,0
185,-10.072802534544207,0
186,-10.072802534544207,0
187,-10.072802534544207,0
188,-10.072802534544207,0
189,-10.072802534544207,0
190,-10.072802534544207,0
191,-10.072802534544207,0
192,-10.072802534544207,0
193,-10.072802534544207,0
194,-10.072802534544207,0
195,-10.072802534544207,0
196,-10.072802534544207,0
197,-10.072802534544207,0
198,-10.072802534544207,0
199,-10.072802534544207,0
200,-10.072802534544207,0
201,-10.072802534544207,0
202,-10.072802534544207,0
203,-10.072802534544207,0
204,-10.072802534544207,0
205,-10.072802534544207,0
206,-10.072802534544207,0
207,-10.072802534544207,0
208,-10.072802534544207,0
209,-10.072802534544207,0
210,-10.072802534544207,0
211,-10.072802534544207,0
212,-10.072802534544207,0
213,-10.072802534544207,0
214,-10.072802534544207,0
215,-10.072802534544207,0
216,-10.072802534544207,0
217,-10.072802534544207,0
218,-10.072802534544207,0
219,-10.072802534544207,0
220,-10.072802534544207,0
221,-10.072802534544207,0
222,-10.072802534544207,0
223,-10.072802534544207,0
224,-10.072802534544207,0
225,-10.072802534544207,0
226,-10.072802534544207,0
227,-10.072802534544207,0
228,-10.072802534544207,0
229,-10.072802534544207,0
230,-10.072802534544207,0
231,-10.072802534544207,0
232,-10.072802534544207,0
233,-10.072802534544207,0
