,x,response
0,0.0,0.0
1,0.10101,
2,0.20202,
3,0.30303,
4,0.40404,
5,0.50505,
6,0.60606,
7,0.70707,
8,0.80808,
9,0.90909,
10,1.0101,10.0
11,1.1111,
12,1.2121,
13,1.3131,
14,1.4141,
15,1.5152,
16,1.6162,
17,1.7172,
18,1.8182,
19,1.9192,
20,2.0202,
21,2.1212,
22,2.2222,
23,2.3232,
24,2.4242,
25,2.5253,
26,2.6263,
27,2.7273,
28,2.8283,
29,2.9293,
30,3.0303,
31,3.1313,
32,3.2323,
33,3.3333,
34,3.4343,
35,3.5354,
36,3.6364,
37,3.7374,
38,3.8384,
39,3.9394,
40,4.0404,
41,4.1414,
42,4.2424,
43,4.3434,
44,4.4444,
45,4.5455,
46,4.6465,
47,4.7475,
48,4.8485,
49,4.9495,
50,5.0505,
51,5.1515,
52,5.2525,
53,5.3535,
54,5.4545,
55,5.5556,
56,5.6566,
57,5.7576,
58,5.8586,
59,5.9596,
60,6.0606,
61,6.1616,
62,6.2626,
63,6.3636,
64,6.4646,
65,6.5657,
66,6.6667,
67,6.7677,
68,6.8687,
69,6.9697,
70,7.0707,
71,7.1717,
72,7.2727,
73,7.3737,
74,7.4747,
75,7.5758,
76,7.6768,
77,7.7778,
78,7.8788,
79,7.9798,
80,8.0808,
81,8.1818,
82,8.2828,
83,8.3838,
84,8.4848,
85,8.5859,
86,8.6869,
87,8.7879,
88,8.8889,
89,8.9899,
90,9.0909,
91,9.1919,
92,9.2929,
93,9.3939,
94,9.4949,
95,9.596,
96,9.697000000000001,
97,9.798,
98,9.899,
99,10.0,
